time ,contract ,period ,funding rate 
2021/11/23 16:00,BTCUSDT 永续,8hr,0.01%
2021/11/23 8:00,BTCUSDT 永续,8hr,0.01%
2021/11/23 0:00,BTCUSDT 永续,8hr,0.01%
2021/11/22 16:00,BTCUSDT 永续,8hr,0.01%
2021/11/22 8:00,BTCUSDT 永续,8hr,0.01%
2021/11/22 0:00,BTCUSDT 永续,8hr,0.01%
2021/11/21 16:00,BTCUSDT 永续,8hr,0.01%
2021/11/21 8:00,BTCUSDT 永续,8hr,0.01%
2021/11/21 0:00,BTCUSDT 永续,8hr,0.01%
2021/11/20 16:00,BTCUSDT 永续,8hr,0.01%
2021/11/20 8:00,BTCUSDT 永续,8hr,0.01%
2021/11/20 0:00,BTCUSDT 永续,8hr,0.01%
2021/11/19 16:00,BTCUSDT 永续,8hr,0.01%
2021/11/19 8:00,BTCUSDT 永续,8hr,0.01%
2021/11/19 0:00,BTCUSDT 永续,8hr,0.01%
2021/11/18 16:00,BTCUSDT 永续,8hr,0.01%
2021/11/18 8:00,BTCUSDT 永续,8hr,0.01%
2021/11/18 0:00,BTCUSDT 永续,8hr,0.01%
2021/11/17 16:00,BTCUSDT 永续,8hr,0.01%
2021/11/17 8:00,BTCUSDT 永续,8hr,0.01%
2021/11/17 0:00,BTCUSDT 永续,8hr,0.01%
2021/11/16 16:00,BTCUSDT 永续,8hr,0.01%
2021/11/16 8:00,BTCUSDT 永续,8hr,0.04%
2021/11/16 0:00,BTCUSDT 永续,8hr,0.04%
2021/11/15 16:00,BTCUSDT 永续,8hr,0.02%
2021/11/15 8:00,BTCUSDT 永续,8hr,0.02%
2021/11/15 0:00,BTCUSDT 永续,8hr,0.01%
2021/11/14 16:00,BTCUSDT 永续,8hr,0.01%
2021/11/14 8:00,BTCUSDT 永续,8hr,0.01%
2021/11/14 0:00,BTCUSDT 永续,8hr,0.02%
2021/11/13 16:00,BTCUSDT 永续,8hr,0.03%
2021/11/13 8:00,BTCUSDT 永续,8hr,0.02%
2021/11/13 0:00,BTCUSDT 永续,8hr,0.04%
2021/11/12 16:00,BTCUSDT 永续,8hr,0.04%
2021/11/12 8:00,BTCUSDT 永续,8hr,0.02%
2021/11/12 0:00,BTCUSDT 永续,8hr,0.02%
2021/11/11 16:00,BTCUSDT 永续,8hr,0.01%
2021/11/11 8:00,BTCUSDT 永续,8hr,0.02%
2021/11/11 0:00,BTCUSDT 永续,8hr,0.06%
2021/11/10 16:00,BTCUSDT 永续,8hr,0.07%
2021/11/10 8:00,BTCUSDT 永续,8hr,0.04%
2021/11/10 0:00,BTCUSDT 永续,8hr,0.07%
2021/11/9 16:00,BTCUSDT 永续,8hr,0.04%
2021/11/9 8:00,BTCUSDT 永续,8hr,0.04%
2021/11/9 0:00,BTCUSDT 永续,8hr,0.05%
2021/11/8 16:00,BTCUSDT 永续,8hr,0.05%
2021/11/8 8:00,BTCUSDT 永续,8hr,0.03%
2021/11/8 0:00,BTCUSDT 永续,8hr,0.04%
2021/11/7 16:00,BTCUSDT 永续,8hr,0.04%
2021/11/7 8:00,BTCUSDT 永续,8hr,0.02%
2021/11/7 0:00,BTCUSDT 永续,8hr,0.04%
2021/11/6 16:00,BTCUSDT 永续,8hr,0.05%
2021/11/6 8:00,BTCUSDT 永续,8hr,0.05%
2021/11/6 0:00,BTCUSDT 永续,8hr,0.04%
2021/11/5 16:00,BTCUSDT 永续,8hr,0.02%
2021/11/5 8:00,BTCUSDT 永续,8hr,0.02%
2021/11/5 0:00,BTCUSDT 永续,8hr,0.05%
2021/11/4 16:00,BTCUSDT 永续,8hr,0.05%
2021/11/4 8:00,BTCUSDT 永续,8hr,0.05%
2021/11/4 0:00,BTCUSDT 永续,8hr,0.03%
2021/11/3 16:00,BTCUSDT 永续,8hr,0.04%
2021/11/3 8:00,BTCUSDT 永续,8hr,0.08%
2021/11/3 0:00,BTCUSDT 永续,8hr,0.05%
2021/11/2 16:00,BTCUSDT 永续,8hr,0.03%
