,Pa1,Pb1,Pa2,Pb2,Va1
2021-09-30 08:00:39,41508.82,41508.81,41509.57,41508.27,0.094
2021-09-30 08:01:17,41482.31,41482.3,41482.95,41482.22,1.413
2021-09-30 08:01:57,41481.29,41481.28,41482.32,41481.15,0.405
2021-09-30 08:02:36,41437.25,41437.24,41437.74,41436.84,0.008
2021-09-30 08:03:13,41538.61,41538.6,41539.17,41538.2,1.204
2021-09-30 08:03:51,41539.8,41539.79,41540.4,41539.77,0.018
2021-09-30 08:04:28,41450.01,41450.0,41450.68,41449.9,0.227
2021-09-30 08:05:05,41486.57,41481.79,41486.58,41481.77,0.037
2021-09-30 08:05:44,41444.9,41444.89,41444.93,41444.64,0.213
2021-09-30 08:06:27,41420.01,41420.0,41420.15,41419.98,1.624
2021-09-30 08:07:04,41399.51,41399.5,41399.85,41399.41,0.429
2021-09-30 08:07:47,41417.74,41417.73,41418.24,41417.23,0.815
2021-09-30 08:08:32,41414.55,41414.54,41414.6,41414.1,0.237
2021-09-30 08:09:20,41432.31,41432.3,41433.25,41431.77,0.33
2021-09-30 08:10:06,41466.39,41466.38,41467.14,41465.88,0.503
2021-09-30 08:10:51,41412.37,41412.36,41412.38,41410.71,19.466
2021-09-30 08:11:35,41418.23,41418.22,41418.24,41416.33,1.881
2021-09-30 08:12:18,41448.43,41448.42,41450.0,41447.8,0.035
2021-09-30 08:13:03,41440.39,41440.38,41440.45,41439.08,0.109
2021-09-30 08:13:48,41447.43,41447.42,41448.36,41447.19,0.11
2021-09-30 08:14:32,41516.19,41516.18,41516.21,41515.74,0.634
2021-09-30 08:15:13,41543.61,41542.48,41544.8,41541.39,0.001
2021-09-30 08:15:51,41667.31,41666.1,41667.32,41665.99,3.257
2021-09-30 08:16:30,41722.01,41721.58,41722.22,41721.44,1.017
2021-09-30 08:17:12,41703.11,41702.84,41704.37,41701.64,0.79
2021-09-30 08:17:48,41726.97,41726.96,41726.99,41724.41,1.047
2021-09-30 08:18:23,41697.05,41697.04,41698.67,41696.68,0.001
2021-09-30 08:19:03,41694.24,41694.23,41694.38,41694.2,1.57
2021-09-30 08:19:39,41743.15,41743.14,41743.16,41742.66,0.259
2021-09-30 08:20:15,41730.25,41730.24,41730.7,41730.23,0.002
2021-09-30 08:20:54,41692.37,41692.36,41692.38,41689.71,2.15
2021-09-30 08:21:31,41705.69,41705.68,41706.38,41705.41,0.661
2021-09-30 08:22:11,41720.0,41719.99,41720.2,41716.37,1.728
2021-09-30 08:22:56,41700.01,41700.0,41700.24,41699.44,0.128
2021-09-30 08:23:39,41695.03,41695.02,41696.21,41694.96,0.339
2021-09-30 08:24:20,41715.46,41715.45,41715.55,41714.75,5.409
2021-09-30 08:24:58,41748.22,41748.21,41749.2,41747.87,0.101
2021-09-30 08:25:36,41718.84,41718.83,41721.11,41718.81,0.747
2021-09-30 08:26:20,41704.81,41704.8,41704.87,41704.47,1.793
2021-09-30 08:27:06,41701.82,41701.81,41702.04,41701.8,0.285
2021-09-30 08:27:53,41729.89,41729.88,41730.41,41729.0,0.991
2021-09-30 08:28:32,41708.53,41706.67,41708.63,41706.66,0.105
2021-09-30 08:29:15,41713.93,41713.92,41714.43,41713.0,0.49
2021-09-30 08:29:55,41703.52,41703.51,41703.93,41701.42,1.216
2021-09-30 08:30:34,41690.01,41690.0,41691.53,41689.52,0.469
2021-09-30 08:31:13,41660.22,41660.21,41660.57,41660.2,1.786
2021-09-30 08:31:52,41641.06,41639.77,41641.66,41639.76,0.157
2021-09-30 08:32:29,41664.61,41664.6,41664.64,41663.82,5.069
2021-09-30 08:33:07,41636.43,41636.42,41636.6,41636.4,0.474
2021-09-30 08:33:51,41630.26,41630.25,41630.27,41630.02,0.142
2021-09-30 08:34:35,41641.85,41641.84,41642.24,41640.98,1.823
2021-09-30 08:35:15,41653.52,41653.51,41653.67,41653.08,1.337
2021-09-30 08:36:05,41644.11,41643.2,41644.14,41642.71,0.02
2021-09-30 08:36:52,41631.09,41631.08,41631.1,41631.0,0.429
2021-09-30 08:37:32,41652.52,41652.51,41652.7,41652.49,0.505
2021-09-30 08:38:16,41647.84,41647.14,41648.83,41647.13,0.048
2021-09-30 08:39:01,41697.59,41697.58,41698.11,41695.05,1.229
2021-09-30 08:39:45,41683.43,41683.42,41684.79,41682.88,0.233
2021-09-30 08:40:28,41656.57,41656.56,41656.58,41656.1,1.42
2021-09-30 08:41:09,41657.19,41657.18,41658.5,41656.98,0.189
2021-09-30 08:41:55,41673.92,41673.91,41674.0,41672.96,1.114
2021-09-30 08:42:32,41802.58,41802.57,41803.44,41802.56,0.06
2021-09-30 08:43:13,41882.97,41882.96,41883.12,41882.46,0.506
2021-09-30 08:43:51,41890.7,41890.69,41892.19,41890.61,0.253
2021-09-30 08:44:34,41913.12,41913.11,41913.83,41912.2,0.128
2021-09-30 08:45:09,41967.28,41967.27,41968.1,41967.05,0.529
2021-09-30 08:45:45,41955.48,41955.47,41955.49,41955.46,0.3
2021-09-30 08:46:22,41949.34,41949.33,41949.4,41948.13,0.058
2021-09-30 08:46:59,41969.97,41969.96,41970.47,41969.81,0.324
2021-09-30 08:47:35,41992.77,41992.76,41994.29,41991.4,0.001
2021-09-30 08:48:11,42043.18,42043.17,42043.6,42043.16,0.149
2021-09-30 08:48:53,42168.16,42166.01,42168.54,42165.97,0.412
2021-09-30 08:49:29,42199.41,42199.4,42200.0,42198.22,1.996
2021-09-30 08:50:02,42174.94,42174.93,42174.95,42174.92,0.501
2021-09-30 08:50:38,42175.35,42175.34,42175.45,42174.99,0.536
2021-09-30 08:51:12,42210.14,42210.13,42210.24,42208.71,0.048
2021-09-30 08:51:46,42228.99,42228.98,42229.52,42227.96,0.225
2021-09-30 08:52:21,42191.39,42191.38,42192.79,42190.89,0.048
2021-09-30 08:52:55,42212.1,42212.09,42212.31,42211.8,0.065
2021-09-30 08:53:29,42263.0,42262.99,42264.46,42262.98,0.184
2021-09-30 08:54:05,42273.46,42273.45,42273.62,42273.4,0.722
