,Pa1,Pa2,Pb2,Pb1,Va1
2021-08-06 08:00:36,40912.48,40912.49,40910.9,40912.47,0.266
2021-08-06 08:01:11,40864.63,40865.17,40864.33,40864.62,0.811
2021-08-06 08:01:46,40851.98,40851.99,40851.96,40851.97,1.572
2021-08-06 08:02:20,40806.69,40808.03,40806.67,40806.68,0.348
2021-08-06 08:02:54,40989.98,40989.99,40989.94,40989.97,1.357
2021-08-06 08:03:27,40999.88,41000.0,40999.86,40999.87,2.896
2021-08-06 08:04:01,40994.47,40994.59,40993.95,40994.46,0.868
2021-08-06 08:04:34,40940.32,40940.33,40940.0,40940.31,0.365
2021-08-06 08:05:08,40906.12,40906.82,40904.32,40906.11,0.622
2021-08-06 08:05:44,40840.7,40840.71,40840.55,40840.69,1.007
2021-08-06 08:06:17,40749.01,40749.16,40748.71,40749.0,0.2
2021-08-06 08:06:51,40726.55,40727.32,40726.5,40726.54,2.962
2021-08-06 08:07:24,40681.49,40682.06,40680.23,40681.48,2.164
2021-08-06 08:07:57,40716.87,40717.89,40716.4,40716.86,1.361
2021-08-06 08:08:31,40760.63,40762.51,40760.09,40760.62,0.15
2021-08-06 08:09:06,40795.62,40796.18,40795.6,40795.61,1.873
2021-08-06 08:09:41,40768.88,40769.38,40768.64,40768.87,0.663
2021-08-06 08:10:15,40717.86,40717.87,40717.79,40717.85,0.459
2021-08-06 08:10:50,40730.0,40730.21,40729.82,40729.99,0.584
2021-08-06 08:11:25,40719.16,40720.51,40719.14,40719.15,0.139
2021-08-06 08:12:00,40710.02,40710.51,40710.0,40710.01,1.585
2021-08-06 08:12:36,40775.95,40776.02,40775.92,40775.94,0.037
2021-08-06 08:13:10,40773.84,40776.93,40773.76,40773.83,0.838
2021-08-06 08:13:46,40795.0,40795.01,40793.69,40794.99,5.069
2021-08-06 08:14:22,40816.05,40816.34,40815.46,40815.47,0.009
2021-08-06 08:14:57,40768.16,40768.68,40767.21,40768.15,0.065
2021-08-06 08:15:32,40833.78,40833.89,40828.27,40828.28,0.449
2021-08-06 08:16:08,40844.94,40845.0,40844.92,40844.93,0.141
2021-08-06 08:16:45,40863.0,40863.03,40862.24,40862.99,0.117
